date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2009-04-01,0,0,32,5,9,266,W,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,99.0,0.0,0.0,1018.0,31.0,100.0,1.0,33.0,0.0,33.0,-2.0,28.0,9.0,14.0,-2.0,28.0
2009-04-01,1200,2,36,6,9,191,S,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,100.0,0.0,0.0,1011.0,30.0,100.0,3.0,37.0,3.0,37.0,0.0,32.0,12.0,20.0,0.0,32.0
2009-04-02,0,0,33,10,17,303,WNW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,99.0,10.0,6.0,1010.0,30.0,100.0,0.0,33.0,0.0,32.0,-4.0,24.0,16.0,27.0,-4.0,24.0
2009-04-02,1200,1,34,8,13,308,NW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,100.0,10.0,6.0,1016.0,30.0,100.0,1.0,34.0,1.0,34.0,-3.0,27.0,12.0,19.0,-3.0,27.0
2009-04-03,0,-2,28,7,12,317,NW,260,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Freezing fog,0.0,0.0,98.0,0.0,0.0,1018.0,31.0,75.0,-2.0,29.0,-2.0,28.0,-6.0,21.0,12.0,19.0,-6.0,21.0
2009-04-03,1200,0,32,7,12,221,SW,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,98.0,0.0,0.0,1011.0,30.0,100.0,1.0,33.0,0.0,32.0,-3.0,26.0,11.0,18.0,-3.0,26.0
2009-04-04,0,0,33,6,9,327,NNW,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,99.0,0.0,0.0,1009.0,30.0,100.0,1.0,33.0,1.0,33.0,-2.0,28.0,9.0,14.0,-2.0,28.0
2009-04-04,1200,1,34,8,13,340,NNW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,96.0,10.0,6.0,1015.0,30.0,89.0,1.0,34.0,1.0,33.0,-3.0,27.0,12.0,19.0,-3.0,27.0
2009-04-05,0,-10,13,2,3,232,SW,260,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Freezing fog,0.0,0.0,98.0,0.0,0.0,1019.0,31.0,2.0,-6.0,21.0,-6.0,20.0,-7.0,19.0,4.0,7.0,-7.0,19.0
2009-04-05,1200,2,36,3,5,190,S,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,98.0,0.0,0.0,1014.0,30.0,100.0,3.0,37.0,2.0,36.0,1.0,35.0,5.0,8.0,1.0,35.0
2009-04-06,0,0,32,2,3,9,N,260,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Freezing fog,0.0,0.0,99.0,0.0,0.0,1014.0,30.0,75.0,1.0,33.0,0.0,33.0,1.0,33.0,4.0,6.0,1.0,33.0
2009-04-06,1200,4,40,7,11,159,SSE,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,100.0,0.0,0.0,1009.0,30.0,100.0,5.0,40.0,5.0,40.0,2.0,36.0,12.0,19.0,2.0,36.0
2009-04-07,0,2,35,6,10,283,WNW,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,100.0,0.0,0.0,1006.0,30.0,100.0,2.0,36.0,2.0,36.0,-1.0,30.0,13.0,20.0,-1.0,30.0
2009-04-07,1200,2,35,6,9,355,N,248,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Fog,0.0,0.0,99.0,0.0,0.0,1016.0,30.0,100.0,2.0,36.0,2.0,35.0,-1.0,31.0,8.0,12.0,-1.0,31.0
2009-04-08,0,-7,20,2,4,82,E,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,97.0,2.0,1.0,1022.0,31.0,48.0,-6.0,21.0,-6.0,21.0,-8.0,18.0,5.0,8.0,-8.0,18.0
2009-04-08,1200,2,36,2,4,77,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,65.0,10.0,6.0,1025.0,31.0,50.0,3.0,37.0,-3.0,27.0,2.0,36.0,3.0,4.0,2.0,36.0
2009-04-09,0,-5,24,3,5,137,SE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92.0,10.0,6.0,1026.0,31.0,33.0,-4.0,26.0,-5.0,23.0,-6.0,22.0,5.0,8.0,-6.0,22.0
2009-04-09,1200,4,39,4,7,29,NNE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,88.0,10.0,6.0,1027.0,31.0,59.0,4.0,40.0,3.0,37.0,3.0,37.0,5.0,8.0,3.0,37.0
2009-04-10,0,-5,24,3,5,88,E,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,91.0,10.0,6.0,1031.0,31.0,23.0,-3.0,26.0,-5.0,24.0,-5.0,23.0,4.0,6.0,-5.0,23.0
2009-04-10,1200,4,39,4,6,144,SE,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,46.0,10.0,6.0,1031.0,31.0,6.0,5.0,42.0,-5.0,23.0,4.0,39.0,5.0,7.0,4.0,39.0
2009-04-11,0,-3,27,5,8,183,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,80.0,10.0,6.0,1031.0,31.0,48.0,-2.0,29.0,-5.0,23.0,-5.0,23.0,8.0,14.0,-5.0,23.0
2009-04-11,1200,7,44,5,8,190,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,49.0,10.0,6.0,1028.0,31.0,31.0,7.0,45.0,-3.0,27.0,6.0,42.0,5.0,9.0,6.0,42.0
2009-04-12,0,-1,31,4,7,192,SSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,81.0,10.0,6.0,1028.0,31.0,47.0,0.0,32.0,-3.0,27.0,-3.0,27.0,9.0,15.0,-3.0,27.0
2009-04-12,1200,11,51,4,6,182,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,81.0,10.0,6.0,1025.0,31.0,11.0,12.0,53.0,9.0,48.0,12.0,53.0,4.0,7.0,12.0,53.0
2009-04-13,0,-1,31,5,8,184,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,80.0,10.0,6.0,1026.0,31.0,5.0,1.0,35.0,-2.0,29.0,-1.0,30.0,10.0,17.0,-1.0,30.0
2009-04-13,1200,13,56,4,6,204,SSW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,56.0,10.0,6.0,1022.0,31.0,2.0,16.0,60.0,7.0,44.0,16.0,60.0,5.0,7.0,16.0,60.0
2009-04-14,0,1,33,3,5,228,SW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,82.0,10.0,6.0,1019.0,31.0,16.0,2.0,36.0,-1.0,31.0,1.0,33.0,6.0,10.0,1.0,33.0
2009-04-14,1200,15,59,4,6,164,SSE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,45.0,10.0,6.0,1016.0,30.0,75.0,15.0,60.0,3.0,38.0,15.0,60.0,4.0,7.0,15.0,60.0
2009-04-15,0,3,38,3,5,156,SSE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,73.0,10.0,6.0,1016.0,30.0,61.0,4.0,39.0,0.0,31.0,3.0,37.0,7.0,11.0,3.0,37.0
2009-04-15,1200,15,59,2,4,214,SSW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,31.0,10.0,6.0,1015.0,30.0,23.0,16.0,61.0,-1.0,30.0,16.0,61.0,3.0,5.0,16.0,61.0
2009-04-16,0,5,42,8,13,350,N,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,77.0,10.0,6.0,1014.0,30.0,45.0,6.0,42.0,2.0,36.0,3.0,37.0,15.0,23.0,3.0,37.0
2009-04-16,1200,2,36,10,17,2,N,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,70.0,10.0,6.0,1021.0,31.0,83.0,2.0,36.0,-3.0,27.0,-2.0,28.0,12.0,20.0,-2.0,28.0
2009-04-17,0,-1,30,4,6,61,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,85.0,10.0,6.0,1022.0,31.0,38.0,-1.0,31.0,-3.0,27.0,-3.0,27.0,5.0,9.0,-3.0,27.0
2009-04-17,1200,7,44,8,12,188,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,46.0,10.0,6.0,1016.0,30.0,22.0,7.0,45.0,-4.0,25.0,5.0,41.0,9.0,14.0,5.0,41.0
2009-04-18,0,2,35,6,10,204,SSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,80.0,10.0,6.0,1004.0,30.0,48.0,2.0,36.0,-1.0,30.0,-1.0,31.0,10.0,16.0,-1.0,31.0
2009-04-18,1200,5,41,11,18,295,WNW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,74.0,10.0,6.0,1001.0,30.0,6.0,5.0,42.0,1.0,34.0,2.0,35.0,13.0,21.0,2.0,35.0
